ID,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Amount Purchased,Children,Clusters
5524,2,3,58138.0,13,58,635,88,546,172,88,88,3,8,10,4,7,0,1,68,1617,0,0
2174,2,3,46344.0,624,38,11,1,6,2,1,6,2,1,1,2,5,0,0,71,27,2,1
4141,2,4,71613.0,358,26,426,49,127,111,21,42,1,8,2,10,4,0,0,60,776,0,2
6182,2,4,26646.0,635,26,11,4,20,10,3,5,2,2,0,4,6,0,0,41,53,1,1
5324,4,1,58293.0,495,94,173,43,118,46,27,15,5,5,3,6,5,0,0,44,422,1,2
7446,3,4,62513.0,377,16,520,42,98,0,42,14,2,6,4,10,6,0,0,58,716,1,2
965,2,0,55635.0,105,34,235,65,164,50,49,27,4,7,3,7,6,0,0,54,590,1,3
6177,4,1,33454.0,343,32,76,10,56,3,1,23,2,4,0,4,8,0,0,40,169,1,1
4855,4,4,30351.0,286,19,14,0,24,3,3,2,1,3,0,2,9,0,1,51,46,1,1
2125,2,0,63033.0,440,82,194,61,480,225,112,30,1,3,4,8,2,0,0,66,1102,0,0
8180,3,0,59354.0,440,53,233,2,53,3,5,14,3,6,1,5,6,0,0,73,310,2,3
2114,4,3,82800.0,115,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,79,1315,0,2
9736,2,1,41850.0,137,51,53,5,19,2,13,4,3,3,0,3,8,0,0,45,96,2,1
4939,2,4,37760.0,55,20,84,5,38,150,12,28,2,4,1,6,7,0,0,79,317,0,3
6565,3,1,76995.0,221,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,76,1782,1,2
2278,0,3,33812.0,10,86,4,17,19,30,24,39,2,2,1,3,6,0,0,40,133,1,1
9360,2,1,37040.0,34,41,86,2,73,69,38,48,1,4,2,5,8,0,0,43,316,0,1
1993,4,1,58607.0,136,63,867,0,86,0,0,19,3,2,3,9,8,0,0,76,972,1,3
4047,4,1,65324.0,640,0,384,0,102,21,32,5,3,6,2,9,4,0,0,71,544,1,2
1409,2,4,40689.0,211,69,270,3,27,39,6,99,7,7,1,5,8,0,0,74,444,1,3
2404,2,1,53359.0,276,4,173,4,30,3,6,41,4,5,1,4,7,0,0,49,257,2,3
9422,2,1,38360.0,280,26,36,2,42,20,21,10,2,2,1,4,3,0,0,36,131,1,1
3033,3,4,38620.0,431,56,112,17,44,34,22,89,1,2,5,3,3,0,0,62,318,0,1
5710,2,4,40548.0,79,31,110,0,5,2,0,3,2,2,1,4,5,0,0,55,120,1,1
7373,4,0,46610.0,97,8,96,12,96,33,22,43,6,4,1,6,6,0,1,73,302,2,3
8755,3,1,68657.0,190,4,482,34,471,119,68,22,1,3,5,9,7,0,0,79,1196,0,2
10738,3,3,49389.0,366,55,40,0,19,2,1,3,1,2,0,3,7,0,0,74,65,2,1
4339,4,1,67353.0,484,37,702,17,151,0,8,35,5,5,6,12,2,0,0,55,913,1,2
10755,0,1,23718.0,179,76,6,3,14,15,7,36,3,3,1,2,7,0,0,49,81,1,1
8595,2,5,42429.0,641,99,55,0,6,2,0,4,2,1,1,3,5,0,0,52,67,1,1
2968,4,0,48948.0,144,53,437,8,206,160,49,42,2,7,10,5,6,0,1,82,902,0,2
8601,2,1,80011.0,250,3,421,76,536,82,178,102,2,8,6,5,4,0,0,45,1395,1,0
503,3,1,20559.0,456,88,13,1,29,3,0,7,2,2,0,3,8,0,0,40,53,1,1
8430,2,4,21994.0,137,4,9,0,6,3,1,3,1,0,0,3,5,0,0,68,22,1,1
1371,2,3,79941.0,615,72,123,164,266,227,30,174,1,2,4,9,1,0,0,49,984,0,0
7286,2,4,41728.0,273,92,13,6,15,3,5,13,1,2,0,2,10,0,0,57,55,1,1
6566,4,1,72550.0,36,39,826,50,317,50,38,38,9,5,2,12,8,0,0,71,1319,2,3
8614,2,5,65486.0,650,29,245,19,125,37,67,14,1,4,2,10,2,0,0,68,507,1,2
4114,3,1,79143.0,100,2,650,37,780,27,167,32,1,6,9,13,3,0,0,61,1693,0,0
1331,2,3,35790.0,171,54,12,6,20,30,1,3,2,2,0,3,7,0,0,48,72,1,1
2225,2,0,82582.0,622,54,510,120,550,156,40,241,1,4,9,7,1,0,1,48,1617,0,0
9381,2,1,66373.0,459,57,328,9,124,12,24,109,7,4,2,10,3,0,0,47,606,2,3
